ID,Question,A,B,C,D,E,Answer
3265,La polimialgia reumatica:,,colpisce prevalentemente gli uomini < 40 anni,è causata da recidivanti infezioni streptococciche tonsillari,è associata alla porpora di Schonlein-Henoch,è associata a positività dell'anticorpo JO1,E
3266,"In presenza di un ceppo di Staphylococcus aureus resistente all'oxacillina
quale farmaco può essere utilizzato?",,La cefazolina,L'ampicillina,L'imipenem,La vancomicina,E
3267,La più comune causa di morte cardiaca improvvisa è,,cardiopatia ischemica,cuore polmonare cronico,ipertiroidismo,ipoitiroidismo,E
3268,"Uno dei seguenti farmaci è attivo nella amebiasi intestinale ed
extra-intestinale, nella leishmaniosi cutanea, nella tricomoniasi
urogenitale, e nella giardiasi. Indicare quale:",mfotericina,,,ilossamide furoato,Paromomicina,E
3269,Per omozigote s'intende un individuo che:,,ha due alleli uguali di un determinato gene,manifesta un carattere ad effetto soglia,è il risultato dell'unione di due gameti simili,presenta cromosomi tutti uguali,E
3270,"Quali di queste sostanze ha proprietà farmacologiche sovrapponibili a
quelle della atropina?",,ergotamina,limidazolina,fentolamina,propanololo,E
3271,Quale delle seguenti cellule umane è più sensibile alle radiazioni?,strociti,,ellule nervose,,,E
3272,"Durante un esercizio massimale al cicloergometro, il flusso ematico agli
arti in esercizio",,si riduce,rimane invariato,varia in relazione al tipo di fibre muscolare,nessuna delle risposte indicate è corretta,E
3273,I carcinomi colorettali insorgono più frequentemente a livello di:,,colon destro,colon trasverso,cieco,flessura epatica,E
3274,"Quale dei seguenti segni non è presente nella poliradicolonevrite di
Guillain-Barrè:",,deficit di forza,dolorabilità muscolare,,,C
3275,"Il quadro clinico delle contusioni addominali può comprendere i seguenti
elementi tranne uno:",,,,Peritonite perforativa,Steatorrea,E
3276,L'alendronato va assunto:,,Un'ora dopo la colazione,,Indifferentemente a qualunque orario,Prima di coricarsi,E
3277,La corteccia cerebrale:,,,,Precentrale é sede dell'area somestetica primaria,"' sede di una rappresentazione motoria della mano e della lingua più
vasta di quella del tronco",E
3278,"Il numero normale di cellule riscontrabili nel liquor cefalo-rachidiano
normale è di:",,fino a 10 cellule/mmc,fino a 100 cellule/mmc,non ci devono essere cellule di alcun tipo,dipende dalla formula ematica periferica,E
3279,Un trigliceride si forma da:,,glicerolo e acidi grassi con acquisto di una molecola di acqua,glucosio e tre acidi grassi,tutte le risposte precedenti,nessuna delle risposte precedenti,E
3280,"Qual'è la definizione più appropriata per indicare la perdita, prima ematica
poi sierosa classica del puerperio?",,metrorragia,menometrorragia,lochiazione,amenorrea,E
3281,Segnare quella che tra le seguenti affermazioni è corretta:,,"sono responsabili della positività dell'intradermoreazione
tubercolina","i linfociti T costituiscono la fonte principale di produzione delle
immunoglobuline",le funzioni dei linfociti,i linfociti,E
3282,Il codice Deontologico è:,,un documento personale di ogni singolo professionista,"un documento contenente le norme dirette a regolare l'attività di una
categoria professionale",un documento contenente le regole di impianto dei denti,"un insieme di casi da cui è possibile dedurre modalità concrete di
comportamento",E
3283,La causa più comune di glomerulonefrite postinfettiva è,,virus epatite,HIV,streptococco beta emolitico,haemophilus,E
3284,Quali sono le cause piu' frequenti di stenosi tracheali estrinseche?,,neoformazioni tiroidee,neoplasie della parete toracica,ipetrofia ventricolare sinistra,timomi,E
3285,Il genoma di un organismo eucariote è,,L'insieme dei geni presenti su un cromosoma,L'insieme dei caratteri che manifesta,Il corredo aploide di geni,L'insieme dei geni presenti sui cromosomi omologhi,E
3286,"In un soggetto di 60 anni fumatore che presenta emoftoe la diagnosi più
probabile è:",,tumore del polmone,bronchiectasie,rottura di varici esofagee,cisti polmonare da echinococco,E
3287,"Gli ormoni adrenalina e glucagone partecipano al controllo del
metabolismo del glicogeno nei tessuti promuovendo:",,l'attivazione della glicogeno fosforilasi,l'attivazione della glicogeno sintetasi,l'attivazione dell'enzima ramificante,l'attivazione della lipoprotein lipasi,E
3288,Che cosa si intende per pneumotorace iperteso?,,il collasso polmonare totale con aumento delle pressioni intracardiache,"il collasso parziale o totale del polmone con aumento progressivo della
pressione nelle vie aeree","il collasso parziale o totale del polmone con aumento progressivo della
pressione intrapleurica","il collasso polmonare parziale o totale in un soggetto con sindrome
ansiosa",E
3289,Nelle metastasi ossee di carcinomi prostatici risulta aumentata,,la fosforemia,la magnesemia,la mioglobina,la fosfatasi acida,E
3290,Il materiale genetico può essere trasferito da un batterio all'altro mediante:,,,Traduzione,Trascrizione,Trasposizione,E
3291,Gli ACE-inibitori sono caratterizzati da:,,assenza di effetti sul circolo renale,effetto facilitante la diuresi per aumentata eliminazione di bicarbonati,sostanziale inefficacia nell'ipertensione nefrogenica,"effetto broncodilatatore per effetto di potenziamento sulle bradichinine
polmonari",E
3292,"La cardiopatia ischemica cronica è caratterizzata da tutte le seguenti
condizioni tranne:",,diffusa atrofia del miocardio,aterosclerosi stenosante delle coronarie di grado severo,,,C
3293,Qual è la causa più frequente di embolia polmonare?,neurisma dell'arteria succlavia,Tromboflebiti profonde degli arti inferiori,Trombosi arteriose,Flebite superficiale degli arti superiori,,E
3294,"Una vasculite che interessa vasi di grande e medio calibro e si presenta in
soggetti di età superiore 50 anni. Tra i sintomi più comuni, cefalea,
claudicatio della mandibola e/o delle braccia, amaurosi fugace,
polimialgia, tumefazione distale delle estremità. Si tratta di:",,malattia di Takayasu,malattia di Kawasaki,granulomatosi di Wegener,poliarterite nodosa,E
3295,Gli stati confusionali acuti:,,non comportano mai disorientamento temporo-spaziale,sono caratteristici dell'episodio depressivo maggiore,"si presentano con una riduzione della vigilanza che può comportare sia
ipoattività che iperattività motoria e agitazione",sono un segno caratteristico dell'intossicazione da litio,E
3296,"Il carcinoma della cervice uterina si associa in più del 95% dei casi ad
infezione da:",,virus erpetico ottavo (HHV8),papillomavirus umano (HPV),nesseria gonorrea,candida albicans,E
3297,Quale dei seguenti è il tumore solido più frequente nell'infanzia:,,Neuroblastoma,Rabdomiosarcoma,Sarcoma di,Teratoma,E
3298,La concentrazione sierica di potassio normalmente è:,,"1,5-2,5 m","3,5-4,5 m",5-7 m,q/l,E
3299,L'adenocarcinoma renale è anche detto:,,Mixoma atriale,rohn,Morbo di,Malattia di Paget,E
3300,L'ansia nel bambino si manifesta:,,nelle nevrosi,nel disturbo post-traumatico da stress,in assenza di disturbi psichiatrici,in tutte queste condizioni,E
3301,"Quale fra queste condizioni patologiche è causa frequente di
insufficienza renale acuta?",sistematizzato,lucido,paranoide,secondario,nessuno delle precedenti,E
3303,Quale dei seguenti tendini è intrarticolare al ginocchio:,,il tendine del muscolo semimembranoso,il tendine del muscolo popliteo,il tendine del muscolo gracile,il tendine del muscolo adduttore lungo,E
3304,La malattia di Rendu-Osler si associa frequentemente con:,,fistole artero-venose,teleangectasie cutanee e mucose,nessuna di queste condizioni,tutte queste condizioni,E
3305,"Quale delle seguenti affermazioni riguardo al disturbo di Tourette è
corretta?",,"anomalie nel metabolismo della serotonina sembrano essere il principale
meccanismo patogenetico del disturbo",i tic del paziente sono in genere aggravati dai periodi di stress emotivo,"il tasso di concordanza per il disturbo tra i gemelli monozigoti è
estremamente basso","vi è un tasso più elevato di sociopatia tra i pazienti con questo disturbo
che nella popolazione generale",E
3306,"Tutte le seguenti informazioni riguardo l'endometriosi sono vere eccetto
una:",,le trasformazioni maligne sono rare,è più frequente nell'età fertile,le donne affette possono presentare infertilità,la sede di coinvolgimento più comune è l'ovaio,E
3307,Un valore di PaCO2 pari a 70 mmHg indica,,Una ipocapnia,Una ipossiemia,Una normocapnia,Una ipercapnia,E
3308,Nella classificazione NYH,"nella classe I in presenza di una cardiopatia organica non vi sono
sostanziali limitazioni dell'attività fisica","nella classe IV i sintomi dell'insufficienza cardiaca sono presenti anche a
riposo",l'edema declive alle caviglie non rientra nei criteri classificativi,"la presenza di dolori anginosi fa automaticamente passare alla classe III o
IV",nella classe II i pazienti sono asintomatici a riposo,E
3309,"In una delle seguenti malattie, le tetracicline sono farmaci di scelta;
indicare quale:",,Tubercolosi,olera,Tetano,,E
3310,L'apparato iuxtaglomerulare secerne:,,renina,eritropoietina,prostaglandine,serotonina,E
3311,"Durate la notte in un individuo sano, la scorta di glicogeno epatico
diminuisce; di contro le scorte del glicogeno muscolare non variano
perché:",,"il muscolo non possiede enzimi glicogenolitici che possono essere regolati
dal glucagone","il muscolo manca dei recettori per il glucagone e, pertanto, non è sensibile
alla concentrazione del glucosio nel sangue","il muscolo non possiede l'enzima glucosio 6-fosfatasi e, pertanto, non può
generare glucosio libero dal glicogeno","il trasportatore muscolare per il glucosio, GLUT4, viene internalizzato
quando i livelli di insulina nel sangue sono bassi",E
3312,"Il Diabete Mellito tipo 1 è caratterizzato da tutte le seguenti condizioni
tranne una:",umento di peso,Polidipsia,Polifagia,Nicturia,,E
3313,Nelle crisi dolorose addominali il decubito e':,,prono,supino,laterale,ortopnoico,E
3314,Il corticosurrene è istologicamente organizzato in strati definiti:,,"glomerulare, interstiziale, midollare","glomerulare, reticolare, fascicolate",in nessuno di questi modi,non esiste stadiazione,E
3315,"Quale esame diagnostico strumentale consente una diagnosi di ernia del
disco:",,arteriografia,/ RMN,T,radiografia,E
3316,"Il reperto endoscopico più comune in soggetti che eseguano una
E*GDScopia per studio diagnostico di una dispepsia è:",,,ancro gastrico o esofageo,uodenite erosiva,,E
3317,"La secrezione di quale ormone è dipendente dalla ""osmolarità"" dei fluidi
extracellulari?",,cortisone,ossitocina,vasopressina,somatomedina,E
3318,La lesione che precede l'insorgenza del carcinoma endometriale è:,,il polipo endometriale,l'iperplasia semplice,l'endometrite cronica,l'iperplasia complessa,E
3319,Le salmonellosi minori riconoscono un serbatoio prevalentemente,nimale,Umano,Vegetale,Vettoriale,Nessuno dei precedenti,D
3320,Quale dei seguenti farmaci non è causa di ipokaliemia?,,teofillina,calcio-antagonisti,diuretici,amphotericina,E
3321,In quale di queste condizioni é diminuita la glicorrachia:,,,Meningite tubercolare,Uremia,Neoplasie cerebrali,E
3322,"L'associazione di sulfamidici con trimetoprim determina un aumento
notevole (sinergismo) dell'efficacia terapeutica in molte infezioni
batteriche in quanto (indicare l'affermazione corretta):",,"I sulfamidici facilitano la penetrazione del trimetoprim all'interno della
cellula batterica","I due farmaci si inibiscono a vicenda per quanto riguarda la loro
eliminazione renale, per cui i livelli ematici di entrambi risultano molto
più prolungati","Il trimetoprim facilita la penetrazione dei sulfamidici all'interno della
cellula batterica",I sulfamidici favoriscono l'assorbimento intestinale del trimetoprim,E
3323,"Quale tra questi miceti si acquisisce come commensale fin dal momento
della nascita?",spergillus fumigatus,,ryptococcus neoformans,,Histoplasma capsulatum,E
3324,L'angina addominale dovuta ad ischemia mesenterica insorge:,,dopo l'ingestione di alimenti,a seguito di infarto renale,dopo una claudicatio intermittens,prima di una claudicatio intermittens,E
3325,Un'embolia polmonare minima si rileva con:,,e L,scintigrafia polmonare,eventuale toracentesi,Rx anteroposteriore e laterale a circa 12 - 24 ore dall'attacco acuto,E
3326,Nei matrimoni tra cugini primi si determina una delle seguenti situazioni:,,aumento generico della sterilità dovuto alla consanguineità,aumento generico della probabilità dì parti plurigemellari,aumento del rischio di malattie ereditarie controllate da alleli dominanti,aumento delle malattie legate al cromosoma X,E
3327,Una vertigine rotatoria posizionale è più probabilmente dovuta a:,,intossicazione da oppiacei,disfunzione labirintica,lesione demielinizzante,epilessia,E
3328,"Le seguenti tipologie di reazioni avverse sono tutte importanti da
segnalare, tranne:",,note e di lieve entità.,inattese.,,,C
3329,La risposta immunitaria secondaria e` basata su:,,la selezione clonale,omplemento,l'attivazione del,l'opsonizzazione dell'antigene,E
3330,Tra i sintomi di un episodio maniacale non figura:,,aumantato consumo di alcol,aumentato bisogno di sonno,irritabilita' e sospettosita',eccessiva autostima,E
3331,"Quale dei seguenti virus non è associato alla insorgenza di tumori
nell'uomo?",V),V),V),Virus dell'epatite,Virus dell'epatite,E
3332,Quale dei seguenti ormoni non è prodotto dall'ipofisi?,,FSH,TH,ormone della crescita (GH),somatostatina,E
3333,L'apoptosi è:,;,proliferazione e differenziazione delle cellule staminali;,"""suicidio"" cellulare in caso di danno irreparabile all'RN",processo deputato alla produzione di energia;,morte cellulare programmata geneticamente.,E
3334,"In un tipo di beta-talassemia, si ritrovano sequenze introniche nell'RN",,l'inizio della trascrizione,la poliadenilazione,l'inizio della traduzione,il processamento post-traduzionale,E
3335,In un paziente affetto da glaucoma è controindicato l'uso:,ciclovir,degli antipressivi triciclici,benil pennicillina,delle benzodiazepine ipnogene,dell',E
